01-ai | 01.AI | AI API / SDK for Developers | usage | free tier | high lock-in
overwolf | Overwolf | Game Development Tools | free | free tier | medium lock-in
ovhcloud-object-storage | OVHcloud Object Storage | Object Storage / Media API | usage | no free tier | high lock-in
ovo | OVO | Payment Gateway / PSP | usage | no free tier | medium lock-in
owasp-foundation | OWASP Foundation | Security Scanning / Mobile App Sec | free | free tier | high lock-in
owasp-zap | OWASP ZAP | Security Scanning / Mobile App Sec | free | free tier | high lock-in
owncloud | ownCloud | Object Storage / Media API | freemium | free tier | high lock-in
ox-security | OX Security | Content Moderation API | custom | no free tier | low lock-in
oxc | Oxc | Security Scanning / Mobile App Sec | free | free tier | high lock-in
oxen-ai | Oxen AI | AI API / SDK for Developers | freemium | free tier | high lock-in
oxeye | Oxeye | Security Scanning / Mobile App Sec | custom | no free tier | low lock-in
oxla | Oxla | DBaaS / Serverless Databases | freemium | free tier | high lock-in
oxlint | Oxlint | Code Assistants / Agent Tooling | free | free tier | high lock-in
oxxo-pay | OXXO Pay | Payment Gateway / PSP | usage | no free tier | medium lock-in
oxylabs | Oxylabs | Data Integration / ETL / Reverse ETL | subscription | free tier | medium lock-in
ozow | Ozow | Payment Gateway / PSP | usage | no free tier | medium lock-in
pa11y | pa11y | Test Automation / Device Cloud | free | free tier | high lock-in
paar-autonomy | Paar Autonomy | AI API / SDK for Developers | custom | no free tier | medium lock-in
pabbly-connect | Pabbly Connect | No-code / Low-code App Builders | subscription | no free tier | medium lock-in
pachyderm | Pachyderm | AI API / SDK for Developers | freemium | free tier | high lock-in
packer | Packer | CI/CD for Applications | free | free tier | high lock-in
pact | Pact | Test Automation / Device Cloud | free | free tier | high lock-in
pact-jvm | Pact JVM | Test Automation / Device Cloud | free | free tier | high lock-in
pactflow | PactFlow | Test Automation / Device Cloud | freemium | free tier | high lock-in
pactum-js | PactumJS | Test Automation / Device Cloud | free | free tier | high lock-in
paddle | Paddle | Subscription Billing | usage, 5% + $0.50/transaction | no free tier | high lock-in
paga | Paga | Payment Gateway / PSP | usage | no free tier | medium lock-in
pagar-me | Pagar.me | Payment Gateway / PSP | usage | no free tier | medium lock-in
pagbrasil | PagBrasil | Payment Gateway / PSP | usage | no free tier | medium lock-in
pagerduty | PagerDuty | Observability / Logging / Tracing | freemium | free tier | medium lock-in
pagerly | Pagerly | Observability / Logging / Tracing | subscription, $4/user/month | no free tier | medium lock-in
pagero | Pagero | Invoicing / Taxes / Sales Tax | custom | no free tier | low lock-in
pagertree | Pagertree | Observability / Logging / Tracing | freemium | free tier | medium lock-in
pagos | Pagos | Payments Orchestration | custom | no free tier | medium lock-in
pagseguro | Pagseguro | Payment Gateway / PSP | usage | no free tier | medium lock-in
paidy | Paidy | Payment Gateway / PSP | usage | no free tier | medium lock-in
paigo | Paigo | AI API / SDK for Developers | usage | no free tier | medium lock-in
paligo | Paligo | Developer Portals / API Management | subscription | no free tier | low lock-in
palo-alto-cortex-xdr | Palo Alto Cortex XDR | Security Scanning / Mobile App Sec | custom | no free tier | low lock-in
palo-alto-prisma-cloud | Palo Alto Prisma Cloud | Security Scanning / Mobile App Sec | custom | no free tier | low lock-in
panaseer | Panaseer | Security Scanning / Mobile App Sec | custom | no free tier | low lock-in
pandadoc | PandaDoc | Object Storage / Media API | freemium | free tier | medium lock-in
pandas | Pandas | Data Integration / ETL / Reverse ETL | free | free tier | high lock-in
pandera | Pandera | Data Integration / ETL / Reverse ETL | free | free tier | high lock-in
pandium | Pandium | Data Integration / ETL / Reverse ETL | custom | no free tier | low lock-in
panel | Panel | Product Analytics | free | free tier | high lock-in
pangea | Pangea | Security Scanning / Mobile App Sec | freemium | free tier | medium lock-in
pangle | Pangle | Code Assistants / Agent Tooling | subscription | no free tier | low lock-in
panopto | Panopto | Object Storage / Media API | custom | no free tier | high lock-in
panora | Panora | Developer Portals / API Management | subscription, $0.99 | free tier | medium lock-in
panorays | Panorays | Security Scanning / Mobile App Sec | custom | no free tier | high lock-in
panther-labs | Panther Labs | Security Scanning / Mobile App Sec | custom | no free tier | medium lock-in
panto | Panto | CI/CD for Applications | subscription, $0 | free tier | medium lock-in
panto-ai | Panto AI | Test Automation / Device Cloud | custom | no free tier | medium lock-in
pants-build | Pants Build | CI/CD for Applications | free | free tier | low lock-in
papa-parse | Papa Parse | Developer Portals / API Management | free | free tier | low lock-in
papago-api | Papago API | Localization / Translation API | freemium | free tier | medium lock-in
papercup | Papercup | Localization / Translation API | custom | no free tier | medium lock-in
papercups | Papercups | Developer Portals / API Management | free | free tier | low lock-in
papermark | Papermark | Developer Portals / API Management | freemium | free tier | low lock-in
paperspace | Paperspace | AI API / SDK for Developers | usage | free tier | medium lock-in
papertrail | Papertrail | Observability / Logging / Tracing | freemium | free tier | medium lock-in
parabola | Parabola | No-code / Low-code App Builders | freemium | free tier | medium lock-in
paradedb | ParadeDB | DBaaS / Serverless Databases | free | free tier | low lock-in
paradigm-ai | Paradigm AI | No-code / Low-code App Builders | subscription | no free tier | medium lock-in
parafin | Parafin | Payment Gateway / PSP | custom | no free tier | high lock-in
paraglide-js | Paraglide JS | Localization / Translation API | free | free tier | low lock-in
paragon | Paragon | Data Integration / ETL / Reverse ETL | custom | no free tier | high lock-in
parallel-web | Parallel Web Systems | AI API / SDK for Developers | usage | free tier | medium lock-in
param | Param | Payment Gateway / PSP | custom | no free tier | high lock-in
paramark | Paramark | Mobile Attribution / MMP | custom | no free tier | medium lock-in
paramiko | Paramiko | Developer Portals / API Management | free | free tier | low lock-in
parasoft | Parasoft | Code Assistants / Agent Tooling | custom | no free tier | high lock-in
parca | Parca | Performance Monitoring / APM | free | free tier | low lock-in
parcel | Parcel | CDN / Edge / Acceleration | free | free tier | low lock-in
parea-ai | Parea AI | AI API / SDK for Developers | freemium | free tier | medium lock-in
park-ui | Park UI | No-code / Low-code App Builders | free | free tier | low lock-in
parloa | Parloa | AI API / SDK for Developers | custom | no free tier | high lock-in
parse-platform | Parse Platform | Backend-as-a-Service | freemium | free tier | low lock-in
parseable | Parseable | Observability / Logging / Tracing | free | free tier | low lock-in
particle | Particle | Backend-as-a-Service | freemium | free tier | high lock-in
particle-health | Particle Health | Compliance Automation | custom | no free tier | high lock-in
partykit | PartyKit | Real-time / WebSocket Infrastructure | freemium | free tier | medium lock-in
passage-by-1password | Passage by 1Password | Identity / Auth / User Management | freemium | free tier | medium lock-in
passbase | Passbase | KYC / KYB / AML API | custom | no free tier | high lock-in
passbolt | PassBolt | Secrets Management | freemium | free tier | low lock-in
passkeys-dev | Passkeys.dev | Identity / Auth / User Management | free | free tier | low lock-in
passlib | Passlib | Security Scanning / Mobile App Sec | free | free tier | low lock-in
passport-js | Passport.js | Identity / Auth / User Management | free | free tier | low lock-in
patroni | Patroni | DBaaS / Serverless Databases | free | free tier | low lock-in
patronus-ai | Patronus AI | AI API / SDK for Developers | unknown, $25 | no free tier | medium lock-in
patsnap | PatSnap | Developer Portals / API Management | custom | no free tier | high lock-in
paubox | Paubox | Messaging API (Email / SMS / Voice) | subscription | no free tier | medium lock-in
pawapay | Pawapay | Payment Gateway / PSP | usage | no free tier | medium lock-in
pay-jp | Pay.jp | Payment Gateway / PSP | usage | no free tier | medium lock-in
payabbhi | Payabbhi | Payments Orchestration | usage | no free tier | medium lock-in
payabli | Payabli | Payment Gateway / PSP | usage | no free tier | high lock-in
payaza | Payaza | Payment Gateway / PSP | usage | no free tier | medium lock-in
paydock | Paydock | Payments Orchestration | custom | no free tier | medium lock-in
payfast | PayFast | Payment Gateway / PSP | usage | no free tier | medium lock-in
payhere | Payhere | Payment Gateway / PSP | usage | no free tier | medium lock-in
payku | Payku | Payment Gateway / PSP | usage | no free tier | medium lock-in
payload-cms | Payload CMS | No-code / Low-code App Builders | freemium | free tier | low lock-in
paymaya | PayMaya | Payment Gateway / PSP | usage | no free tier | medium lock-in
paymentology | Paymentology | Payment Gateway / PSP | custom | no free tier | high lock-in
paymentsos | PaymentsOS | Payments Orchestration | custom | no free tier | medium lock-in
paymentus | Paymentus | Payment Gateway / PSP | custom | no free tier | high lock-in
paymob | Paymob | Payment Gateway / PSP | usage | no free tier | medium lock-in
paymongo | PayMongo | Payment Gateway / PSP | usage | no free tier | medium lock-in
paynamics | Paynamics | Payment Gateway / PSP | usage | no free tier | medium lock-in
payoneer | Payoneer | Payment Gateway / PSP | usage | no free tier | medium lock-in
paypal | PayPal | Payment Gateway / PSP | subscription | no free tier | medium lock-in
paypay-for-developers | PayPay for Developers | Payment Gateway / PSP | usage | no free tier | medium lock-in
payrails | Payrails | Payments Orchestration | custom | no free tier | medium lock-in
payrix | Payrix | Payment Gateway / PSP | custom | no free tier | high lock-in
paysafecard | Paysafecard / Paysafe Group | Payment Gateway / PSP | usage | no free tier | medium lock-in
paystack | Paystack | Payment Gateway / PSP | usage | no free tier | medium lock-in
paystand | Paystand | Invoicing / Taxes / Sales Tax | subscription | no free tier | high lock-in
paytabs | PayTabs | Payment Gateway / PSP | usage | no free tier | medium lock-in
paytm | Paytm | Payment Gateway / PSP | subscription | no free tier | medium lock-in
paytr | Paytr | Payment Gateway / PSP | usage | no free tier | medium lock-in
paytrix | Paytrix | Payment Gateway / PSP | custom | no free tier | medium lock-in
payu | PayU | Payments Orchestration | unknown | no free tier | medium lock-in
paywallpro | PaywallPro | In-app Purchase Optimization | subscription | no free tier | medium lock-in
paywallscreens | Paywall Screens | In-app Purchase Optimization | freemium | free tier | low lock-in
pdf-api | PDF-API | Developer Portals / API Management | freemium | free tier | medium lock-in
pdf-co | PDF.co | Object Storage / Media API | freemium | free tier | medium lock-in
pdf-lib | pdf-lib | Developer Portals / API Management | free | free tier | low lock-in
pdfblade | PDFBlade | Object Storage / Media API | freemium | free tier | medium lock-in
pdfbolt | PDFBolt | Developer Portals / API Management | freemium | free tier | medium lock-in
pdfix | PDFix | Object Storage / Media API | custom | no free tier | medium lock-in
pdfmake | pdfmake | Developer Portals / API Management | free | free tier | low lock-in
pdfmonkey | PDFMonkey | Object Storage / Media API | freemium | free tier | medium lock-in
pdfshift | PDFShift | Object Storage / Media API | freemium | free tier | medium lock-in
pdm | PDM | CDN / Edge / Acceleration | free | free tier | low lock-in
pdoc | pdoc | Developer Portals / API Management | free | free tier | low lock-in
peach-fuzzer | Peach Fuzzer | Security Scanning / Mobile App Sec | free | free tier | low lock-in
